DataValue,LocalDateTime,UTCOffset,DateTimeUTC,SiteCode,VariableCode,MethodCode,SourceCode,QualityControlLevelCode
0.550,2008-12-05 12:00,-3,2008-12-05 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.445,2008-12-06 12:00,-3,2008-12-06 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.437,2008-12-07 12:00,-3,2008-12-07 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.430,2008-12-08 12:00,-3,2008-12-08 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.440,2008-12-09 12:00,-3,2008-12-09 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.519,2008-12-10 12:00,-3,2008-12-10 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.502,2008-12-11 12:00,-3,2008-12-11 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.511,2008-12-12 12:00,-3,2008-12-12 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.484,2008-12-13 12:00,-3,2008-12-13 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.457,2008-12-14 12:00,-3,2008-12-14 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.450,2008-12-15 12:00,-3,2008-12-15 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.465,2008-12-16 12:00,-3,2008-12-16 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.477,2008-12-17 12:00,-3,2008-12-17 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.467,2008-12-18 12:00,-3,2008-12-18 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.488,2008-12-19 12:00,-3,2008-12-19 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.614,2008-12-20 12:00,-3,2008-12-20 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.638,2008-12-21 12:00,-3,2008-12-21 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.656,2008-12-22 12:00,-3,2008-12-22 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.756,2008-12-23 12:00,-3,2008-12-23 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.502,2008-12-24 12:00,-3,2008-12-24 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.830,2008-12-25 12:00,-3,2008-12-25 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.714,2008-12-26 12:00,-3,2008-12-26 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.547,2008-12-27 12:00,-3,2008-12-27 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.503,2008-12-28 12:00,-3,2008-12-28 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.499,2008-12-29 12:00,-3,2008-12-29 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.579,2008-12-30 12:00,-3,2008-12-30 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.558,2008-12-31 12:00,-3,2008-12-31 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
1.018,2009-01-01 12:00,-3,2009-01-01 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.867,2009-01-02 12:00,-3,2009-01-02 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.934,2009-01-03 12:00,-3,2009-01-03 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
1.010,2009-01-04 12:00,-3,2009-01-04 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.795,2009-01-05 12:00,-3,2009-01-05 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.627,2009-01-06 12:00,-3,2009-01-06 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.606,2009-01-07 12:00,-3,2009-01-07 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.582,2009-01-08 12:00,-3,2009-01-08 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.555,2009-01-09 12:00,-3,2009-01-09 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.636,2009-01-10 12:00,-3,2009-01-10 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.640,2009-01-11 12:00,-3,2009-01-11 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.554,2009-01-12 12:00,-3,2009-01-12 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.521,2009-01-13 12:00,-3,2009-01-13 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.503,2009-01-14 12:00,-3,2009-01-14 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.511,2009-01-15 12:00,-3,2009-01-15 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.521,2009-01-16 12:00,-3,2009-01-16 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.572,2009-01-17 12:00,-3,2009-01-17 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.808,2009-01-18 12:00,-3,2009-01-18 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.683,2009-01-19 12:00,-3,2009-01-19 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.595,2009-01-20 12:00,-3,2009-01-20 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.558,2009-01-21 12:00,-3,2009-01-21 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.533,2009-01-22 12:00,-3,2009-01-22 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.511,2009-01-23 12:00,-3,2009-01-23 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.511,2009-01-24 12:00,-3,2009-01-24 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.522,2009-01-25 12:00,-3,2009-01-25 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.661,2009-01-26 12:00,-3,2009-01-26 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.717,2009-01-27 12:00,-3,2009-01-27 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.962,2009-01-28 12:00,-3,2009-01-28 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
1.001,2009-01-29 12:00,-3,2009-01-29 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.827,2009-01-30 12:00,-3,2009-01-30 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.721,2009-01-31 12:00,-3,2009-01-31 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.620,2009-02-01 12:00,-3,2009-02-01 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.576,2009-02-02 12:00,-3,2009-02-02 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.565,2009-02-03 12:00,-3,2009-02-03 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.610,2009-02-04 12:00,-3,2009-02-04 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.615,2009-02-05 12:00,-3,2009-02-05 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.562,2009-02-06 12:00,-3,2009-02-06 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.506,2009-02-07 12:00,-3,2009-02-07 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.548,2009-02-08 12:00,-3,2009-02-08 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.608,2009-02-09 12:00,-3,2009-02-09 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.641,2009-02-10 12:00,-3,2009-02-10 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.741,2009-02-11 12:00,-3,2009-02-11 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.634,2009-02-12 12:00,-3,2009-02-12 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.722,2009-02-13 12:00,-3,2009-02-13 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.651,2009-02-14 12:00,-3,2009-02-14 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.660,2009-02-15 12:00,-3,2009-02-15 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
1.205,2009-02-16 12:00,-3,2009-02-16 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.830,2009-02-17 12:00,-3,2009-02-17 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
0.628,2009-02-18 12:00,-3,2009-02-18 09:00,SG-SM,Q,QSM-DD-DRC,LHC,CC
